,id,Name,population,Unnamed: 3,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days per 100000 population,ratio
195,196,Seychelles,88340,not listed,Africa,17541.0,17835.83,0.0,0.0,0.0,79.0,80.33,0.0,0.19856237265112067
196,197,Antigua and Barbuda,86754,not listed,Americas,1295.0,1322.39,18.0,18.38,7.0,43.0,43.91,1.02,0.014927265601586094
197,198,Andorra,84525,not listed,Europe,14655.0,18967.19,191.0,247.2,25.0,127.0,164.37,0.0,0.17338065661047028
198,199,Isle of Man,76913,not listed,Europe,4333.0,5095.73,1512.0,1778.15,65.0,29.0,34.1,0.0,0.056336380065788616
199,DOM,Dominica,72813,0,Americas,210.0,291.7,1.0,1.39,0.0,0.0,0.0,0.0,0.002884100366692761
200,201,Bermuda,68268,not listed,Americas,2553.0,4099.69,18.0,28.9,0.0,33.0,52.99,0.0,0.03739673053260679
201,202,American Samoa,66432,not listed,Western Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,203,Marshall Islands,65859,not listed,Western Pacific,4.0,6.76,0.0,0.0,0.0,0.0,0.0,0.0,6.073581439135122e-05
203,204,Guernsey,65632,not listed,Europe,941.0,1459.64,33.0,51.19,0.0,17.0,26.37,0.0,0.014337518283764018
204,GRL,Greenland,57637,0,Europe,118.0,207.85,33.0,58.13,8.0,0.0,0.0,0.0,0.0020472960077727847
205,206,Cayman Islands,50209,not listed,Americas,640.0,973.83,11.0,16.74,0.0,2.0,3.04,0.0,0.01274671871576809
206,207,Saint Kitts and Nevis,49898,not listed,Americas,582.0,1094.15,25.0,47.0,4.0,3.0,5.64,0.0,0.011663794140045694
207,208,Faroe Islands,49057,not listed,Europe,982.0,2009.62,17.0,34.79,2.0,1.0,2.05,0.0,0.02001753062763724
208,209,Northern Mariana Islands,48317,not listed,Western Pacific,190.0,330.11,2.0,3.47,0.0,2.0,3.47,0.0,0.003932363350373574
209,210,Liechtenstein,35002,not listed,Europe,3186.0,8222.57,11.0,28.39,0.0,58.0,149.69,0.0,0.09102337009313753
210,211,San Marino,31477,not listed,Europe,5143.0,15154.1,36.0,106.08,10.0,90.0,265.19,0.0,0.16338914127775836
211,212,Monaco,30586,not listed,Europe,2853.0,7269.9,109.0,277.75,20.0,33.0,84.09,0.0,0.09327797031321519
212,213,Saint Martin,30235,not listed,Americas,2579.0,6671.15,56.0,144.86,0.0,30.0,77.6,0.0,0.08529849512154787
